id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Display resolution;Panel type;Display type;Aspect Ratio;Display refresh rate [Hz];Luminosity [Nits];Colour coverage and certification;Processor type;AMD processor generation;Processor model number;Number of processor cores;Processor frequency [GHz];Core boost frequency [GHz];TDP [W];Cache processor [MB];CPU features;Size of operational RAM [GB];Memory type;Memory frequency [MHz];Number of installed slots;Total number of slots;Graphics card type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];Drive interfaces;SSD capacity [GB];Number of occupied slots M.2;Slots in total M.2;Equipment;Webcam;USB-C charging;Charging connector;Battery capacity [Wh];Charging power [W];Maximum battery capacity [h];Construction material;Convertibility;Colour;Weight [kg];Data;Graphical output ports;Network;Audio;USB-C;USB 3.2 Gen 1 (USB 3.0);Bluetooth;WiFi;WiFi version;Optical drive;Width [mm];Maximum height [mm];Depth [mm];Keyboard language;Laptop Series;Certification;Extended warranty;Package includes;Country;Special event;Intel processor generation;Graphics card memory [GB];Maximum Graphic Power (TGP) [W];Boost clock [MHz];"Number of occupied slots 2.5""";"Slots in total 2.5""";Number of cells;Thunderbolt / USB 4;USB 3.2 Gen 2;Standby time [h];Lease;Processor model;USB 2.0;Number of free slots;Number of stream processors;GPU Passmark;HDD capacity [GB];Other interfaces;USB 3.2 Gen 2x2;Intel Optane [GB]
760;Macbook Air 13“ M1 ENG Space Grey 2020;59990.0;49579.0;;;In stock 2 pcs;13.3;2560 × 1600 p× px;IPS;Glossy;16:10;60.0;400.0;;Apple Silicon;;Apple M1;8.0;;;;;;16.0;;;;;['Integrated'];Apple;M1 7-core GPU;['macOS'];['SSD'];2000.0;;2000.0;;;['Backlit keyboard', 'Fingerprint Reader', 'Operating system'];720 p;Can be charged via USB-C;USB-C;50.0;30.0;15.0;['All-metal (unibody)'];Rigid (classic laptop);['Grey'];1.25;Thunderbolt 3;;;['Combo Audio Jack'];2.0;;Bluetooth v5.0;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;304.1;15.6;212.4;['EN'];Apple MacBook Air;;;;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;;;M1;;;;;;;;
761;ASUS ExpertBook B3 Flip B3402FBA-EC0106X Star Black;18790.0;15529.0;;;In stock;14.0;1920 × 1080 p× px;IPS;Glossy;16:9;60.0;250.0;;Intel Core i5;;Intel Core i5 1235U Alder Lake;8.0;2.0;4.4;15.0;2.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;DDR4;3.2;0.0;0.0;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Pro'];['SSD'];512.0;M.2;512.0;1.0;1.0;['Backlit keyboard', 'Touch display', 'TPM 2.0'];720 p;Can be charged via USB-C;USB-C;50.0;65.0;9.0;['Metal', 'Plastic'];Reflexive;['Black'];1.61;Thunderbolt 4;USB-C;;['Combo Audio Jack'];;1.0;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;329.0;19.2;223.9;['CZ'];;['MIL-STD-810H'];['Pick-up & Return'];['Stylus'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;Alder Lake (12th generation);;;;;;3.0;2.0;;;;;;;;;;;;
762;Alza Gamebook GTX1650;18990.0;15694.0;;;Last piece in stock;15.6;1920 × 1080 p× px;LED;Matte;16:9;144.0;;;Intel Core i5;;Intel Core i5 11400H Tiger Lake;6.0;2.7;4.5;45.0;12.0;['HyperThreading'];16.0;DDR4;3.2;;2.0;['Gaming'];NVIDIA GeForce;GTX 1650;['Without Operating System'];['SSD'];1000.0;;1000.0;1.0;2.0;['Backlit keyboard'];720 p;;;;120.0;;;Rigid (classic laptop);['Black'];2.0;;HDMI, USB-C;['RJ-45 (LAN)'];['Headphone input', 'Microphone input'];1.0;2.0;;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;360.2;20.5;243.5;['CZ'];Alza Gamebook;;;;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Tiger Lake (11th generation);4.0;60.0;;;;;;;;;;1.0;;;;;;;
763;Lenovo IdeaPad 5 Pro 14IAP7 Cloud Grey all-metal (záruka na 3 roky po registraci);21989.0;18173.0;;;In stock > 5 pcs;14.0;2240 × 1400 p× px;IPS;Anti-Glare;16:10;60.0;300.0;['100% DCI-P3'];Intel Core i5;;Intel Core i5 1240P Alder Lake;12.0;1.2;4.4;28.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;LPDDR5;4.8;;0.0;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];512.0;PCIe NVMe;512.0;1.0;1.0;['Backlit keyboard', 'Memory Card Reader', 'Operating system', 'TPM 2.0', 'Windows Hello'];1080 p;Can be charged via USB-C;USB-C;56.5;65.0;11.61;['All-metal (unibody)'];Rigid (classic laptop);['Grey'];1.42;USB-C;HDMI, USB-C;;['Combo Audio Jack'];2.0;2.0;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;312.2;15.9;221.0;['CZ', 'SK'];Lenovo IdeaPad;['TÜV Low Blue Light', 'Windows 11 compatible'];['No extended warranty'];['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;Alder Lake (12th generation);;;;;0.0;;;;;;;;;;;;;;
764;GIGABYTE G7 KF;28490.0;23545.0;;;In stock 2 pcs;17.3;1920 × 1080 p× px;IPS;Anti-Glare;16:9;144.0;;;Intel Core i5;;Intel Core i5 12500H Alder Lake;12.0;2.5;4.5;45.0;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;;1.0;2.0;['Dedicated'];NVIDIA GeForce;RTX 4060;['FreeDOS'];['SSD'];512.0;;512.0;1.0;2.0;['Backlit keyboard', 'Numeric keyboard', 'Memory Card Reader'];720 p;No charging via USB-C;;54.0;150.0;;;Rigid (classic laptop);['Black'];2.53;USB-C;HDMI, Mini DisplayPortA smaller version of the digital graphic output, suitable for transmitting uncompressed digital content., USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];2.0;;Bluetooth v5.2;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;397.0;25.0;262.0;['EN'];;;;['Power adapter'];;;Alder Lake (12th generation);8.0;;;;;;;;;;;1.0;;;;;;;
765;Dell Vostro 3430;25690.0;21231.0;;;In stock > 5 pcs at the partner's;14.0;1920 × 1080 p× px;WVA;Anti-Glare;16:9;60.0;250.0;['45% NTSC'];Intel Core i7;;Intel Core i7 1355U Raptor Lake;10.0;1.7;5.0;55.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;3.2;2.0;2.0;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Pro'];['SSD'];512.0;PCIe NVMe;512.0;1.0;1.0;['Backlit keyboard', 'Fingerprint Reader', 'Memory Card Reader', 'Operating system'];720 p;No charging via USB-C;4.5/2.9mm;41.0;65.0;;;Rigid (classic laptop);['Grey'];1.5;USB-C;HDMI;['RJ-45 (LAN)'];['Combo Audio Jack'];1.0;1.0;Bluetooth v5.0;['WiFi 802.11ac'];WiFi 5;Without Optical Drive;323.67;19.48;220.26;['CZ', 'SK'];Dell Vostro;;['On-site'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);;;;;0.0;3.0;;;;;;1.0;;;;;;;
766;"Macbook Air 13"" M1 CZ Silver 2020";35990.0;29744.0;;;In stock 2 pcs;13.3;2560 × 1600 p× px;IPS;Glossy;16:10;60.0;;;Apple Silicon;;Apple M1;8.0;;;;;;8.0;;;;;['Integrated'];Apple;M1 7-core GPU;['macOS'];['SSD'];512.0;;512.0;;;['Backlit keyboard', 'Fingerprint Reader', 'Operating system'];720 p;Can be charged via USB-C;;50.0;;10.0;['All-metal (unibody)'];Rigid (classic laptop);['Silver'];1.25;Thunderbolt 3;;;['Combo Audio Jack'];2.0;;Bluetooth v5.0;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;304.1;15.6;212.4;['CZ'];Apple MacBook Air;;;;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;;;M1;;;;;;;;
767;Dell Latitude 7440;37790.0;31231.0;;;In stock > 5 pcs at the partner's;14.0;1920 × 1200 p× px;WVA;Anti-Glare;16:10;60.0;250.0;['45% NTSC'];Intel Core i5;;Intel Core i5 1345U Raptor Lake;10.0;1.2;4.7;15.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;LPDDR5;4.8;;0.0;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Pro'];['SSD'];512.0;PCIe NVMe;512.0;1.0;1.0;['Backlit keyboard', 'Fingerprint Reader', 'Operating system', 'Windows Hello', 'Smart card reader'];1080 p;Can be charged via USB-C;USB-C;57.0;65.0;;['Metal', 'Plastic'];Rigid (classic laptop);['Grey'];1.32;Thunderbolt 4;HDMI, USB-C;;['Combo Audio Jack'];;2.0;Bluetooth v5.2;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;313.0;18.21;222.75;['CZ', 'SK'];Dell Latitude;['Windows 11 compatible'];['Next Business Day'];['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);;;;0.0;0.0;3.0;2.0;;;;;;;;;;;;
768;OMEN 16-xf0900nc Shadow black  2 roky ONSITE servis;47990.0;39661.0;;;In stock > 5 pcs;16.1;2560 × 1440 p× px;IPS;Anti-Glare;16:9;240.0;300.0;['100% sRGB'];AMD Ryzen 7;Zen 4 (7th generation);AMD Ryzen 7 7840HS;8.0;3.8;5.1;35.0;16.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading'];32.0;DDR5;5.6;2.0;2.0;['Dedicated'];NVIDIA GeForce;RTX 4060;['Windows 11 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;2.0;['Operating system', 'TPM 2.0', 'RGB backlit keyboard'];1080 p;No charging via USB-C;;83.0;;7.25;['Plastic'];Rigid (classic laptop);['Black'];2.41;USB-C;HDMI, USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];2.0;2.0;Bluetooth v5.3;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;369.0;23.5;259.4;['CZ', 'SK'];HP Omen;['TÜV Low Blue Light', 'Windows 11 compatible'];;['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;8.0;140.0;2.37;;;6.0;;;;;;;;;;;;;
769;Microsoft Surface Go 4 256GB 8GB Platinum;22090.0;18256.0;;;In stock > 5 pcs at the partner's;10.51;1920 × 1280 p× px;;Glossy;3:2;;;;Intel N;;Intel Processor N200;4.0;;;6.0;6.0;;8.0;LPDDR5;;;;['Integrated'];Intel;UHD Graphics 615;['Windows 11 Pro'];['UFS'];256.0;;256.0;;;['Touch display', 'Stylus support', 'Operating system'];720 p;Can be charged via USB-C;MS Surface 6-pin;26.8;24.0;11.0;;Detachable;['Silver'];0.54;USB-C;;;['Headphone input'];1.0;;Bluetooth v5.0;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;245.0;8.3;175.0;;Microsoft Surface;;;;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;2.0;;;;;;;;;;;;;
770;"Macbook Air 13"" M1 International English Gold 2020";41990.0;34702.0;;;In stock 1 pcs;13.3;2560 × 1600 p× px;IPS;Glossy;16:10;60.0;400.0;;Apple Silicon;;Apple M1;8.0;;;;;;16.0;;;;;['Integrated'];Apple;M1 7-core GPU;['macOS'];['SSD'];512.0;;512.0;;;['Backlit keyboard', 'Fingerprint Reader', 'Operating system'];720 p;Can be charged via USB-C;USB-C;50.0;30.0;18.0;;Rigid (classic laptop);['Gold'];1.25;Thunderbolt 3;;;['Combo Audio Jack'];2.0;;Bluetooth v5.0;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;304.1;15.6;212.4;['EN'];Apple MacBook Air;;;['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;;;M1;;;;;;;;
771;Lenovo ThinkPad X1 Carbon Gen 11 Deep Black 5G (3 roky NBD ONSITE servis);67990.0;56190.0;;;In stock > 5 pcs at the partner's;14.0;2880 × 1800 p× px;OLED;Anti-Glare;16:10;60.0;400.0;['100% DCI-P3', 'DisplayHDR'];Intel Core i7;;Intel Core i7 1355U Raptor Lake;10.0;1.2;5.0;15.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];32.0;LPDDR5;6.0;;;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Pro'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;1.0;['Backlit keyboard', 'Fingerprint Reader', 'Operating system', 'TPM 2.0', 'Windows Hello'];1080 p;Can be charged via USB-C;USB-C;57.0;65.0;28.5;['Metal', 'Carbon fibres'];Rigid (classic laptop);['Black'];1.12;Thunderbolt 4;HDMI, USB-C;['5G modem'];['Combo Audio Jack'];;2.0;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;315.6;15.36;222.5;['CZ', 'SK'];Lenovo ThinkPad X;['TÜV Low Blue Light', 'Windows 11 compatible', 'MIL-STD-810H'];['On-site'];['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);;;;;;;2.0;;;;;;;;;;;;
772;GIGABYTE AORUS 15 9KF;36590.0;30240.0;;;In stock 2 pcs;15.6;1920 × 1080 p× px;;;16:9;144.0;;;Intel Core i5;;Intel Core i5 12500H Alder Lake;12.0;;4.5;95.0;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;DDR5;4.8;1.0;2.0;['Gaming'];NVIDIA GeForce;RTX 4060;['Windows 11 Home'];['SSD'];512.0;;512.0;;;['Operating system', 'Windows Hello', 'RGB backlit keyboard'];720 p;Can be charged via USB-C;;99.0;240.0;;;Rigid (classic laptop);['Black'];2.25;Thunderbolt 4;HDMI, Mini DisplayPortA smaller version of the digital graphic output, suitable for transmitting uncompressed digital content.;['RJ-45 (LAN)'];['Combo Audio Jack'];1.0;1.0;Bluetooth v5.2;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;360.0;20.9;272.0;['EN'];Gigabyte Aorus;;;['Power adapter'];;;Alder Lake (12th generation);8.0;;;;;;1.0;2.0;;;;;;;;;;;
773;HP ENVY 16-h1002nc Mica Silver Celokovový  2 roky ONSITE servis;71590.0;59165.0;;;In stock 1 pcs;16.0;2880 × 1800 p× px;OLED;Glossy;16:10;120.0;400.0;;Intel Core i9;;Intel Core i9 13900H Raptor Lake;14.0;1.9;5.4;45.0;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];32.0;DDR5;5.2;2.0;2.0;['Dedicated'];NVIDIA GeForce;RTX 4060;['Windows 11 Pro'];['SSD'];2000.0;PCIe NVMe;2000.0;1.0;2.0;['Backlit keyboard', 'Touch display', 'Memory Card Reader', 'Operating system', 'TPM 2.0'];1920 p;No charging via USB-C;;83.0;200.0;8.75;['All-metal (unibody)'];Rigid (classic laptop);['Silver'];2.4;Thunderbolt 4;HDMI, USB-C;;['Combo Audio Jack'];;2.0;Bluetooth v5.3;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;357.4;19.9;252.4;;HP Envy;['TÜV Low Blue Light', 'Windows 11 compatible'];;['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);8.0;115.0;2.37;;;6.0;2.0;;;;;;;;;;;;
774;Lenovo Legion Slim 5 16IRH8 Storm Grey Metallic (záruka na 3 roky po registraci);32989.0;27264.0;;;In stock > 5 pcs;16.0;2560 × 1600 p× px;IPS;Anti-Glare;16:10;165.0;300.0;['100% DCI-P3'];Intel Core i5;;Intel Core i5 13500H Raptor Lake;12.0;1.9;4.7;95.0;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR5;5.2;2.0;2.0;['Dedicated'];NVIDIA GeForce;RTX 4050;['Without Operating System'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;2.0;['Memory Card Reader', 'MUX Switch', 'Nvidia G-SYNC', 'RGB backlit keyboard'];1080 p;No charging via USB-C;Lenovo Slim Tip;80.0;230.0;7.6;['Metal', 'Plastic'];Rigid (classic laptop);['Grey'];2.4;USB-C;HDMI, USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];2.0;;Bluetooth v5.1;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;359.7;21.9;260.3;['CZ', 'SK'];Lenovo Legion;['TÜV Low Blue Light'];['Extended Warranty'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);6.0;100.0;2.37;0.0;0.0;;;2.0;;;;;;;;;;;
775;Microsoft Surface Go 4 64GB 8GB Platinum;16890.0;13959.0;;;In stock > 5 pcs at the partner's;10.51;1920 × 1280 p× px;;Glossy;3:2;;;;Intel N;;Intel Processor N200;4.0;;;6.0;6.0;;8.0;LPDDR5;;;;['Integrated'];Intel;UHD Graphics 615;['Windows 11 Pro'];['UFS'];64.0;;64.0;;;['Touch display', 'Stylus support', 'Operating system'];720 p;Can be charged via USB-C;MS Surface 6-pin;26.8;24.0;11.0;;Detachable;['Silver'];0.54;USB-C;;;['Headphone input'];1.0;;Bluetooth v5.0;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;245.0;8.3;175.0;;Microsoft Surface;;;;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;2.0;;;;;;;;;;;;;
776;Acer Nitro 17 Obsidian Black;33990.0;28091.0;;;In stock > 5 pcs;17.3;2560 × 1440 p× px;IPS;Anti-Glare;16:9;165.0;300.0;['100% sRGB'];AMD Ryzen 5;;AMD Ryzen 5 7640HS;6.0;4.3;5.0;35.0;16.0;['Automatic Overclocking', 'HyperThreading'];16.0;DDR5;5.6;2.0;2.0;['Dedicated'];NVIDIA GeForce;RTX 4050;['Windows 11 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;2.0;['Memory Card Reader', 'Operating system', 'RGB backlit keyboard'];720 p;No charging via USB-C;;90.0;230.0;9.0;['Plastic'];Rigid (classic laptop);['Black'];3.1;USB-C;HDMI, USB-C;['RJ-45 (LAN)'];['Headphone input', 'Microphone input'];2.0;;Bluetooth v5.1;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;400.2;27.9;293.25;['CZ', 'SK'];Acer Nitro;['NVIDIA RTX Studio'];['No extended warranty'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;6.0;140.0;1.656;;;4.0;;2.0;;;;1.0;;;;;;;
777;Microsoft Surface Laptop Go 3;21390.0;17678.0;;;In stock > 5 pcs;12.45;1536 × 1024 p× px;;Glossy;3:2;60.0;;;Intel Core i5;;Intel Core i5 1235U Alder Lake;10.0;;4.4;55.0;12.0;['Automatic Overclocking'];8.0;LPDDR5;;;;['Integrated'];Intel;;['Windows 11 Home'];['SSD'];256.0;;;;;['Touch display', 'Fingerprint Reader', 'Operating system', 'TPM 2.0', 'Windows Hello'];720 p;Can be charged via USB-C;;;39.0;15.0;['All-metal (unibody)'];Rigid (classic laptop);['Silver'];1.13;;USB-C;;['Combo Audio Jack'];1.0;1.0;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;278.0;15.7;206.0;['EN'];Microsoft Surface Laptop;['Windows 11 compatible'];;['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Alder Lake (12th generation);;;;;;4.0;;;;;;;;;;;;;
778;Alza Gamebook GTX1650;18990.0;15694.0;;;Last piece in stock;15.6;1920 × 1080 p× px;LED;Matte;16:9;144.0;;;Intel Core i5;;Intel Core i5 11400H Tiger Lake;6.0;2.7;4.5;45.0;12.0;['HyperThreading'];8.0;DDR4;3.2;;2.0;['Gaming'];NVIDIA GeForce;GTX 1650;['Windows 11 Pro'];['SSD'];500.0;;500.0;1.0;2.0;['Backlit keyboard', 'Operating system'];720 p;;;;120.0;;;Rigid (classic laptop);['Black'];2.0;;HDMI, USB-C;['RJ-45 (LAN)'];['Headphone input', 'Microphone input'];1.0;2.0;;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;360.2;20.5;243.5;['CZ'];Alza Gamebook;;;;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Tiger Lake (11th generation);4.0;60.0;;;;;;;;;;1.0;;;;;;;
779;Lenovo ThinkPad T14s Gen 2 (AMD) Villi Black 3 roky ONSITE servis;29490.0;24372.0;;;In stock 5 pcs;14.0;1920 × 1080 p× px;IPS;Anti-Glare;16:9;;400.0;['72% NTSC'];AMD Ryzen 5;;AMD Ryzen 5 PRO 5650U;6.0;2.3;4.2;15.0;16.0;['Automatic Overclocking', 'Virtualization Support'];8.0;LPDDR4;4.266;;;['Integrated'];AMD Radeon;Graphics;['Windows 10 Pro'];['SSD'];512.0;PCIe NVMe;512.0;1.0;1.0;['Backlit keyboard', 'Fingerprint Reader', 'Memory Card Reader', 'Operating system', 'TrackPoint', 'Windows Hello', 'Smart card reader'];720 p;Can be charged via USB-C;USB-C;57.0;65.0;19.4;;Rigid (classic laptop);['Black'];1.28;;HDMI, USB-C;;['Combo Audio Jack'];2.0;2.0;Bluetooth v5.2;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;327.5;16.14;224.0;['CZ', 'SK'];Lenovo ThinkPad T;['TÜV Low Blue Light', 'MIL-STD-810H'];['On-site'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;0.0;0.0;;;;;;;;;;;;;;
780;"Macbook Air 13"" M1 Gold CZ 2020";19637.0;16229.0;4.9;48.0;Slightly used;13.3;2560 × 1600 p× px;IPS;Glossy;16:10;;;;Apple Silicon;;Apple M1;8.0;;;;4.0;['Automatic Overclocking', 'HyperThreading', 'Low energy consumption', 'Virtualization Support'];8.0;;3.733;;;['Integrated'];Apple;M1 7-core GPU;['macOS'];['SSD'];256.0;NVME;256.0;;;['Backlit keyboard', 'Fingerprint Reader', 'Operating system'];720 p;Can be charged via USB-C;;50.0;;18.0;['All-metal (unibody)'];Rigid (classic laptop);['Gold'];1.25;;;;;2.0;;Bluetooth v5.0;['WiFi 802.11ac', 'WiFi 802.11n', 'WiFi 802.11g', 'WiFi 802.11b', 'WiFi 802.11a', 'WiFi 802.11ax'];WiFi 6;Without Optical Drive;304.0;15.6;212.0;['CZ'];Apple MacBook Air;;;;;;;;;;;;;;;;Yes;M1;;;;;;;;
781;Lenovo IdeaPad Gaming 5 Chrome 16IAU7 Stone Blue Metallic (záruka na 3 roky po registraci);16989.0;14040.0;5.0;1.0;In stock 3 pcs;16.0;2560 × 1600 p× px;IPS;Anti-Glare;16:10;120.0;350.0;['100% DCI-P3'];Intel Core i3;;Intel Core i3 1215U Alder Lake;6.0;0.9;4.4;55.0;10.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;LPDDR4X;4.266;0.0;0.0;['Integrated'];Intel;UHD Graphics;['Google Chrome OS'];['SSD'];256.0;PCIe NVMe;256.0;1.0;1.0;['Memory Card Reader', 'Operating system', 'RGB backlit keyboard'];1080 p;Can be charged via USB-C;USB-C;71.0;45.0;11.0;['Metal', 'Plastic'];Rigid (classic laptop);['Blue'];1.89;USB-C;USB-C;;['Combo Audio Jack'];2.0;2.0;Bluetooth v5.1;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;356.5;19.9;253.0;['CZ', 'SK'];Lenovo Chromebook;['TÜV Low Blue Light'];['No extended warranty'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Alder Lake (12th generation);;;;0.0;0.0;;;;;;;;;;;;;;
782;"Macbook Air 13"" M2 CZ 2022 Space Grey";34512.0;28522.0;4.7;7.0;Unsealed;13.6;2560 × 1664 p× px;IPS;Glossy;16:10;;500.0;;Apple Silicon;;Apple M2 (8-core);8.0;;;;4.0;['Automatic Overclocking', 'HyperThreading', 'Low energy consumption', 'Virtualization Support'];8.0;;;;;['Integrated'];Apple;M2 10-core GPU;['macOS'];['SSD'];512.0;NVME;512.0;;;['Backlit keyboard', 'Operating system'];1080 p;Can be charged via USB-C;;53.0;;18.0;['All-metal (unibody)'];Rigid (classic laptop);['Carbon'];1.24;;;;;2.0;;Bluetooth v5.0;['WiFi 802.11ac', 'WiFi 802.11n', 'WiFi 802.11g', 'WiFi 802.11b', 'WiFi 802.11a', 'WiFi 802.11ax'];WiFi 6;Without Optical Drive;304.0;11.3;215.0;['CZ'];Apple MacBook Air;;;;;;;;;;;;;2.0;;;Yes;M2;;;;;;;;
783;Dell Inspiron 14 7430 2v1;26990.0;22306.0;;;In stock > 5 pcs;14.0;1920 × 1200 p× px;WVA;Anti-Glare;16:10;60.0;250.0;['45% NTSC'];Intel Core i7;;Intel Core i7 1355U Raptor Lake;10.0;1.7;5.0;15.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;LPDDR5;4.8;;0.0;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];512.0;PCIe NVMe;512.0;1.0;1.0;['Backlit keyboard', 'Touch display', 'Fingerprint Reader', 'Memory Card Reader', 'Stylus support'];1080 p;Can be charged via USB-C;USB-C;54.0;65.0;;['Metal', 'Plastic'];Reflexive;['Silver'];1.62;Thunderbolt 4;HDMI, USB-C;;['Combo Audio Jack'];;1.0;Bluetooth v5.2;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;314.0;17.47;226.56;['CZ', 'SK'];Dell Inspiron;;['On-site'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);;;;;0.0;4.0;2.0;;;;;;;;;;;;
